Country,TotalRevenue,UniqueCustomers,NumberOfOrders,RevenuePerCustomer
United Kingdom,14389234.917,5350,33541,2689.57662
EIRE,616570.54,5,567,123314.10800000001
Netherlands,554038.09,22,228,25183.549545454545
Germany,425019.711,107,789,3972.1468317757012
France,348768.96,95,614,3671.252210526316
Australia,169283.46,15,95,11285.564
Spain,108332.49,41,154,2642.2558536585366
Switzerland,100061.94,22,90,4548.27
Sweden,91515.82,19,104,4816.622105263158
Denmark,68580.69,12,43,5715.0575
Belgium,65387.82,29,149,2254.7524137931036
Norway,56322.5,13,45,4332.5
Portugal,55554.78,24,93,2314.7825
Channel Islands,44623.33,13,55,3432.5638461538465
Japan,43023.909999999996,10,33,4302.391
Italy,32108.170000000002,17,65,1888.7158823529412
Finland,29925.54,14,57,2137.5385714285717
Singapore,25317.06,1,11,25317.06
Cyprus,24849.95,11,37,2259.086363636364
Austria,23613.010000000002,13,45,1816.3853846153847
Greece,19096.19,5,18,3819.238
Poland,10654.289999999999,6,28,1775.715
Israel,10415.24,4,7,2603.81
United Arab Emirates,9202.69,4,11,2300.6725
Unspecified,8607.35,6,16,1434.5583333333334
USA,8366.86,9,20,929.6511111111112
Malta,8099.09,2,9,4049.545
Iceland,4921.53,1,8,4921.53
Lithuania,4892.68,1,6,4892.68
Canada,4883.04,5,8,976.608
Thailand,3070.54,1,2,3070.54
RSA,1933.74,2,2,966.87
Lebanon,1693.88,1,1,1693.88
Brazil,1411.87,2,2,705.935
Bahrain,1354.37,2,4,677.185
European Community,1300.25,1,4,1300.25
Korea,1118.51,2,2,559.255
Czech Republic,826.74,1,2,826.74
West Indies,536.41,1,1,536.41
Saudi Arabia,145.92,1,1,145.92
Nigeria,140.39000000000001,1,2,140.39000000000001
