Customer ID,TotalRevenue,NumberOfOrders,TotalItems,AverageOrderValue,PurchaseFrequency
12346.0,77556.46,12,74285,6463.038333333334,12
12347.0,4921.53,8,2967,615.19125,8
12348.0,2019.4,5,2714,403.88,5
12349.0,4428.69,4,1624,1107.1725,4
12350.0,334.4,1,197,334.4,1
12351.0,300.93,1,261,300.93,1
12352.0,2849.84,10,724,284.98400000000004,10
12353.0,406.76,2,212,203.38,2
12354.0,1079.4,1,530,1079.4,1
12355.0,947.61,2,543,473.805,2
12356.0,6371.73,6,3416,1061.955,6
12357.0,18287.66,3,6587,6095.886666666666,3
12358.0,3887.07,5,1079,777.414,5
12359.0,8873.39,10,2739,887.3389999999999,10
12360.0,4252.89,8,2459,531.61125,8
12361.0,511.25,4,235,127.8125,4
12362.0,5356.23,11,2230,486.92999999999995,11
12363.0,552.0,2,408,276.0,2
12364.0,1313.1,4,1506,328.275,4
12365.0,641.38,2,174,320.69,2
12366.0,500.24,1,296,500.24,1
12367.0,168.9,1,173,168.9,1
12368.0,917.6999999999999,1,330,917.6999999999999,1
12369.0,1791.15,3,1241,597.0500000000001,3
12370.0,4316.56,7,2604,616.6514285714286,7
12371.0,4067.38,5,1436,813.476,5
12372.0,1298.04,3,794,432.68,3
12373.0,1127.65,3,516,375.8833333333334,3
12374.0,2989.2200000000003,4,1362,747.3050000000001,4
12375.0,457.5,2,178,228.75,2
12376.0,503.15,2,240,251.575,2
12377.0,3426.32,4,2105,856.58,4
12378.0,5416.32,2,3316,2708.16,2
12379.0,1620.22,4,815,405.055,4
12380.0,9676.300000000001,11,3355,879.6636363636364,11
12381.0,1845.31,5,808,369.062,5
12383.0,1850.56,5,1532,370.11199999999997,5
12384.0,585.27,2,126,292.635,2
12385.0,1938.4,1,612,1938.4,1
12386.0,401.9,2,354,200.95,2
12387.0,143.94,1,134,143.94,1
12388.0,3901.11,8,2001,487.63875,8
12389.0,1433.33,3,614,477.77666666666664,3
12390.0,549.84,1,353,549.84,1
12391.0,2724.84,6,1204,454.14000000000004,6
12392.0,234.75000000000003,1,73,234.75000000000003,1
12393.0,2399.4500000000003,6,1311,399.90833333333336,6
12394.0,1272.48,2,819,636.24,2
12395.0,4721.17,15,3205,314.74466666666666,15
12396.0,931.43,1,591,931.43,1
12397.0,2409.9,2,1263,1204.95,2
12398.0,1635.6599999999999,1,1394,1635.6599999999999,1
12399.0,1962.3,7,2198,280.3285714285714,7
12400.0,205.25,1,91,205.25,1
12401.0,84.3,1,11,84.3,1
12402.0,1256.9,6,584,209.48333333333335,6
12403.0,1019.36,2,260,509.68,2
12404.0,63.24,1,1,63.24,1
12405.0,1710.39,1,857,1710.39,1
12406.0,6390.36,5,3416,1278.072,5
12407.0,1708.1200000000001,5,1416,341.624,5
12408.0,4340.7699999999995,8,2229,542.5962499999999,8
12409.0,23419.29,7,13143,3345.612857142857,7
12410.0,1013.71,3,341,337.90333333333336,3
12411.0,346.9,1,138,346.9,1
12412.0,2596.93,6,1997,432.82166666666666,6
12413.0,999.45,4,319,249.8625,4
12414.0,952.41,6,495,158.73499999999999,6
12415.0,144458.37,28,91447,5159.2275,28
12416.0,202.56,1,132,202.56,1
12417.0,6797.41,20,2884,339.8705,20
12418.0,2021.2,4,1088,505.3,4
12419.0,503.01,2,231,251.505,2
12420.0,600.39,1,345,600.39,1
