Customer ID,TotalRevenue,NumberOfOrders,TotalItems,AverageOrderValue,PurchaseFrequency,CustomerLifespanDays,CustomerLifespanMonths,HistoricalCLTV,ValueSegment,ActiveMonths,MonthlyCustomerValue,Projected12MonthCLTV,CLTVSegment,CustomerType
12346.0,77556.46,12,74285,6463.038333333334,12,400,13.33,77556.46,High Value,13.140604467805518,5902.046606000001,70824.55927200001,High Value,Repeat Customer
12347.0,4921.53,8,2967,615.19125,8,402,13.4,4921.53,High Value,13.206307490144546,372.6651074626866,4471.981289552239,High Value,Repeat Customer
12348.0,2019.4,5,2714,403.88,5,362,12.07,2019.4,High Value,11.892247043363994,169.80811049723758,2037.697325966851,Medium Value,Repeat Customer
12349.0,4428.69,4,1624,1107.1725,4,570,19.0,4428.69,High Value,18.725361366622863,236.5075852631579,2838.0910231578946,Medium Value,Repeat Customer
12350.0,334.4,1,197,334.4,1,0,0.0,334.4,Low Value,1.0,334.4,4012.7999999999997,High Value,Single Purchase
12351.0,300.93,1,261,300.93,1,0,0.0,300.93,Low Value,1.0,300.93,3611.16,High Value,Single Purchase
12352.0,2849.84,10,724,284.98400000000004,10,356,11.87,2849.84,High Value,11.695137976346912,243.67733033707867,2924.127964044944,Medium Value,Repeat Customer
12353.0,406.76,2,212,203.38,2,204,6.8,406.76,Low Value,6.701708278580814,60.69497254901961,728.3396705882353,Low Value,Repeat Customer
12354.0,1079.4,1,530,1079.4,1,0,0.0,1079.4,Medium Value,1.0,1079.4,12952.800000000001,High Value,Single Purchase
12355.0,947.61,2,543,473.805,2,353,11.77,947.61,Medium Value,11.59658344283837,81.71458470254959,980.575016430595,Low Value,Repeat Customer
12356.0,6371.73,6,3416,1061.955,6,401,13.37,6371.73,High Value,13.173455978975033,483.67945436408974,5804.153452369077,High Value,Repeat Customer
12357.0,18287.66,3,6587,6095.886666666666,3,355,11.83,18287.66,High Value,11.662286465177397,1568.102451830986,18817.22942197183,High Value,Repeat Customer
12358.0,3887.07,5,1079,777.414,5,730,24.33,3887.0699999999997,High Value,23.98160315374507,162.08549424657537,1945.0259309589044,Medium Value,Repeat Customer
12359.0,8873.39,10,2739,887.3389999999999,10,676,22.53,8873.39,High Value,22.207621550591327,399.56507633136096,4794.780915976331,High Value,Repeat Customer
